"","plot","ARLU","ASHU","BADI","BOCU","BREU","CAHU","CARO","CEFE","CHAL","CIWH","COAN","COCA","DEPI","ELEL","EPBR","ERAL","ERDI","ERNA","ERNE","ERSP","FEAR","HEMU","HOWR","LACO","LASE","LIDA","LIIN","LIMU","LINE","LOWR","LUAR","MUMO","MUST","MUWR","OEEL","PIPR","PSMA","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"32",32,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"33",33,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"34",34,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0.5,0,0,2,0,0,1,0
"35",35,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0.25,0,0,0.2,0,0,0,0.25,0,0,0.2,0.25,0,3,0,0,0,0,3,0,0,2,0,0,0.2
"36",36,0,0,0,0,0,0,0,2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,26,0,0,0,4,0,0,0,0,0,0
"37",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,3,0,0,0,0,0,0
"38",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
"39",41,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,27,0,0,0,0,0,24,0,0,0,0
"40",42,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,20,0,0,0,1,0
"41",44,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,5,0
"42",45,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0,1,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,17,0
"43",46,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,46,0
"44",47,0,0,0,0,0,0,1,0,0,0,0.2,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,13,0,0,0.25,0
"45",48,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.25,23,0
"46",49,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0
"47",50,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0
"48",51,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,41,0
"49",52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,22,0
"50",53,0,0,0,0,0,0,0,0,0.2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"51",54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0
"52",55,0,0,0,0,0.25,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"53",56,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,23,0
"54",57,0,0,0,0,0,0,0,17,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0
"55",58,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"56",59,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.2,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0
