"plot","ARLU","ASHU","BADI","BOCU","BREU","CARO","CEFE","CHAL","CIWH","COAN","COCA","CRFE","ELEL","ERDI","ERNA","ERNE","ERSP","FEAR","GECA","HEMU","HEOB","HOWR","KOMA","LIDA","LIMA","LIMU","LOWR","LUAR","MUMO","MUST","MUWR","PAMU","PIPR","PSMA","QUGA","SATR","SCSC","SOTR","SOVE","STTE","TRRA","VETH"
"27",0,0,0,0,0,0.269814502529511,0,0,0,0.00674536256323777,0,0,0,0,0,0,0,0.00674536256323777,0,0,0,0.00843170320404722,0,0,0,0,0,0,0.168634064080944,0.438448566610455,0,0,0,0,0.101180438448567,0,0,0,0,0,0,0
"28",0,0,0.00452488687782805,0,0,0,0.217194570135747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398190045248869,0.380090497737557,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99502487562189,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0.0106951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267379679144385,0,0,0.855614973262032,0,0,0.106951871657754,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0.0774193548387097,0,0.00645161290322581,0,0,0,0,0,0,0,0,0,0,0,0.516129032258065,0.0258064516129032,0,0,0,0,0,0,0,0,0.103225806451613,0,0,0.258064516129032,0,0,0,0,0,0,0,0,0.0129032258064516
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297297297297297
"34",0,0,0,0,0,0.133333333333333,0,0.0666666666666667,0,0,0.0333333333333333,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366666666666667,0,0,0,0,0,0.2,0,0,0,0,0,0.0666666666666667
"35",0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0.0540540540540541,0,0,0,0,0,0.162162162162162,0,0.432432432432432,0,0,0,0.0540540540540541,0,0,0,0.27027027027027,0,0,0,0,0
"36",0,0,0,0,0,0,0.112676056338028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422535211267606,0,0.845070422535211,0,0,0,0,0,0,0,0,0,0,0,0
