"plot","ARDR","ARLU","ASHU","BADI","BOCU","CAHU","CARO","CEFE","CHAL","CIWH","COAN","COCA","CRGR","ELEL","ERAL","ERNE","ERSP","FEAR","GECA","HEMU","LASE","LIDA","LIMU","LOWR","LUAR","MACA","MUMO","MUST","MUWR","OEEL","PAMU","PEVI","PIPR","POOL","PSMA","PSTE","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"36",0,0,0,0,0,0,0,0.0292397660818713,0,0,0,0,0,0.087719298245614,0,0,0,0,0,0,0,0,0,0,0.0292397660818713,0,0.204678362573099,0.64327485380117,0,0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0
"37",0,0,0,0,0,0,0.0598802395209581,0,0,0,0,0,0.0598802395209581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838323353293413,0,0,0.0359281437125748,0,0,0,0,0,0,0,0,0,0.00598802395209581,0
"38",0,0,0,0,0,0,0.00354609929078014,0,0.159574468085106,0,0.0354609929078014,0,0.124113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673758865248227,0,0,0,0,0,0,0,0,0,0,0,0,0.00354609929078014,0
"39",0,0,0,0,0,0,0,0,0,0.00482160077145612,0,0,0,0.0964320154291225,0,0,0,0,0,0,0,0.0038572806171649,0,0.0038572806171649,0,0,0.829315332690453,0,0,0,0,0,0,0,0,0,0.0038572806171649,0,0.0578592092574735,0,0,0
"40",0,0,0,0,0,0,0.147540983606557,0,0.0819672131147541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983606557377049,0.524590163934426,0,0,0,0,0,0,0,0,0,0.131147540983607,0,0,0.0163934426229508,0
"41",0,0,0,0,0,0,0,0,0.00367647058823529,0,0,0,0.128676470588235,0.00367647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845588235294118,0,0,0.0183823529411765,0
"42",0,0,0,0,0,0,0,0,0.0337078651685393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224719101123595,0,0,0,0,0,0,0.0449438202247191,0.887640449438202,0,0,0.0112359550561798,0
"44",0,0,0,0,0,0,0,0,0.0306122448979592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908163265306122,0,0,0.0612244897959184,0
"45",0,0,0,0,0,0,0,0,0.682926829268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292682926829268,0,0,0.024390243902439,0
"46",0,0,0,0,0,0,0,0,0.0337078651685393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898876404494382,0,0,0.0674157303370786,0
"47",0,0,0,0,0,0,0,0,0.00214592274678112,0,0.0214592274678112,0.0321888412017167,0,0,0,0,0,0,0,0,0,0,0,0.128755364806867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793991416309013,0,0,0.0214592274678112,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0.972972972972973,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0.321678321678322,0.0979020979020979,0,0,0,0,0,0,0,0.0699300699300699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699300699300699,0.41958041958042,0,0,0.0839160839160839,0
"50",0,0,0,0,0,0,0,0.0152439024390244,0,0,0.00508130081300813,0,0,0,0,0,0,0,0,0,0,0.00203252032520325,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975609756097561,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209643605870021,0,0,0,0,0,0,0,0,0,0,0,0.9958071278826,0,0,0.00209643605870021,0
"52",0,0,0,0,0,0,0,0,0.0875,0,0,0,0.0625,0,0,0,0,0,0.01875,0,0.01875,0.0125,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.7375,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"54",0,0,0,0,0,0,0,0,0.016750418760469,0.033500837520938,0,0,0,0.0083752093802345,0,0,0,0,0,0,0,0,0,0.067001675041876,0,0.0033500837520938,0,0.050251256281407,0,0,0,0,0,0,0,0,0,0.770519262981574,0,0,0.050251256281407,0
"55",0,0,0,0,0,0,0,0.00248756218905473,0.13681592039801,0,0,0,0.099502487562189,0,0,0,0,0,0,0,0.0248756218905473,0,0,0,0,0,0,0.0248756218905473,0,0,0,0,0,0,0,0,0,0.708955223880597,0,0,0.00248756218905473,0
"56",0,0,0,0,0,0,0,0,0.231481481481481,0,0,0,0,0,0,0,0,0,0,0,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763888888888889,0,0,0,0
"57",0,0,0,0,0,0,0,0.0327868852459016,0.786885245901639,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147540983606557,0,0,0.0163934426229508,0
"58",0,0,0,0,0,0,0,0,0.403225806451613,0,0.053763440860215,0,0,0.295698924731183,0,0,0,0,0,0,0.053763440860215,0,0,0,0,0,0.161290322580645,0,0,0,0,0,0,0,0,0,0.0268817204301075,0,0,0,0.0053763440860215,0
"59",0,0,0,0,0,0,0,0.018348623853211,0.0642201834862385,0,0,0,0,0,0,0,0,0,0,0,0,0.036697247706422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81651376146789,0,0,0.0642201834862385,0
"60",0,0,0,0.00466200466200466,0,0,0,0,0.0466200466200466,0,0,0,0,0,0,0,0,0,0,0,0.0233100233100233,0,0,0.034965034965035,0,0.00466200466200466,0,0.163170163170163,0,0,0,0,0,0,0,0,0,0.699300699300699,0,0,0.0233100233100233,0
