"plot","ARLU","ASHU","BADI","BOCU","BREU","CAHU","CARO","CEFE","CHAL","CIWH","COAN","COCA","DEPI","ELEL","EPBR","ERAL","ERDI","ERNA","ERNE","ERSP","FEAR","HEMU","HOWR","LACO","LASE","LIDA","LIIN","LIMU","LINE","LOWR","LUAR","MUMO","MUST","MUWR","OEEL","PIPR","PSMA","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"28",0,0,0.005063491,0,0,0,0,0.330616209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342115903,0.114038634,0,0,0,0.208165761,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0.008684192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01819545,0,0,0.199358844,0,0,0,0.764208902,0.009552611,0,0,0,0,0
"31",0,0,0,0,0,0,0.049250535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950749465,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0.403508772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403508772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192982456,0,0,0,0,0,0,0
"33",0,0,0.807017544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192982456,0
"34",0,0,0,0,0,0,0.397642436,0,0,0,0,0.135559921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397642436,0,0,0.006483301,0,0,0.049705305,0,0,0.012966601,0
"35",0,0,0.006944384,0,0,0,0,0,0,0,0.256942226,0,0,0.003211778,0,0,0,0,0.016058889,0,0,0.001903276,0,0,0,0.032117778,0,0,0.256942226,0.003058836,0,0.033514203,0,0,0,0,0.085647409,0,0,0.046716768,0,0,0.256942226
"36",0,0,0,0,0,0,0,0.056511153,0,0,0,0,0,0.00600431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4803448,0.06265367,0.18099949,0,0,0,0.213486578,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741573034,0,0,0,0.258426966,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0.294871795,0,0,0,0,0,0,0,0,0,0,0,0,0.294871795,0,0,0,0,0,0,0,0.115384615,0,0,0,0,0,0.294871795,0,0,0,0
